            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [O atom]             [Hartree]             [Hartree]
              0.366764           -100.384021              0.680722             -1.680721              0.203049              0.249293
              0.409179           -103.269223              0.358905             -1.358904              0.248684              0.307408
              0.451594           -105.595716              0.346436             -1.346437              0.278137              0.338784
              0.494009           -107.426986              0.374537             -1.374539              0.290518              0.351088
              0.536424           -108.848313              0.389198             -1.389198              0.298404              0.358941
              0.578838           -109.941506              0.390445             -1.390444              0.303723              0.364341
              0.621253           -110.777278              0.378909             -1.378907              0.306958              0.367790
              0.663668           -111.413792              0.354776             -1.354775              0.308158              0.369384
              0.706083           -111.897450              0.317922             -1.317923              0.307222              0.369101
              0.748498           -112.264424              0.268750             -1.268753              0.304028              0.366917
              0.790913           -112.542466              0.209107             -1.209108              0.298526              0.362871
              0.833328           -112.752626              0.142462             -1.142461              0.290798              0.357059
              0.875743           -112.910780              0.073069             -1.073068              0.281067              0.349631
              0.918157           -113.028899              0.004755             -1.004755              0.269674              0.340781
              0.960572           -113.116070             -0.059874             -0.940126              0.257032              0.330757
              1.002987           -113.179237             -0.119541             -0.880459              0.243575              0.319846
              1.045402           -113.223763             -0.173965             -0.826036              0.229701              0.308346
              1.087817           -113.253823             -0.223431             -0.776570              0.215748              0.296539
              1.130232           -113.272685             -0.268450             -0.731551              0.201980              0.284665
              1.172647           -113.282914             -0.309553             -0.690448              0.188584              0.272912
              1.215062           -113.286532             -0.347201             -0.652799              0.175688              0.261424
              1.257477           -113.285133             -0.381763             -0.618237              0.163370              0.250294
              1.299891           -113.279972             -0.413523             -0.586477              0.151667              0.239583
              1.342306           -113.272040             -0.442705             -0.557295              0.140591              0.229323
              1.384721           -113.262114             -0.469491             -0.530508              0.130136              0.219523
              1.427136           -113.250801             -0.494042             -0.505958              0.120285              0.210180
              1.469551           -113.238571             -0.516498             -0.483501              0.111014              0.201279
              1.511966           -113.225786             -0.536990             -0.463009              0.102298              0.192800
              1.554381           -113.212721             -0.555628             -0.444371              0.094116              0.184713
              1.596796           -113.199585             -0.572480             -0.427519              0.086451              0.176982
              1.639210           -113.186540             -0.587488             -0.412512              0.079302              0.169565
              1.681625           -113.173716             -0.600102             -0.399897              0.072711              0.162424
              1.724040           -113.161259             -0.607515             -0.392485              0.066872              0.155750
              1.766455           -113.149423             -0.602875             -0.397125              0.062120              0.150697
              1.808870           -113.138500             -0.588609             -0.411391              0.058149              0.147773
              1.851285           -113.128588             -0.572241             -0.427760              0.054566              0.146068
              1.893700           -113.119660             -0.556778             -0.443223              0.051266              0.145068
              1.936115           -113.111653             -0.543354             -0.456648              0.048208              0.144547
              1.978530           -113.104488             -0.532437             -0.467565              0.045352              0.144365
              2.020944           -113.098080             -0.524101             -0.475901              0.042652              0.144413
              2.063359           -113.092342             -0.518145             -0.481857              0.040071              0.144596
              2.105774           -113.087191             -0.514188             -0.485814              0.037580              0.144834
              2.148189           -113.082552             -0.511765             -0.488237              0.035165              0.145059
              2.190604           -113.078358             -0.510409             -0.489592              0.032820              0.145214
              2.233019           -113.074555             -0.509711             -0.490290              0.030544              0.145261
              2.275434           -113.071091             -0.509350             -0.490650              0.028340              0.145173
              2.317849           -113.067928             -0.509102             -0.490898              0.026207              0.144938
              2.360263           -113.065030             -0.508832             -0.491166              0.024147              0.144558
              2.402678           -113.062369             -0.508473             -0.491525              0.022159              0.144039
              2.445093           -113.059918             -0.508004             -0.491994              0.020241              0.143398
